gene_name,number_of_reads_mapped
glpK_2,33
nadK_nadK_2,31
grpE_grpE_1_grpE_2,31
nusA,30
hemN_2_hemN_3,30
dus,30
mdh_2,29
hemD,29
group_4080,29
alaA,29
yjaB_2,27
glcC,27
engB,27
dps,27
udp,26
rpe_2,26
ilvH,26
ilvE,26
group_8049,26
group_154,26
gntK,26
dsrF,26
dnaB,26
rpoA,25
plaP,25
diaA,25
rpsL,24
nfuA,24
luxS,24
gph,24
dksA,24
cidA,24
uidA:CP146653.1:2405030-2406841,23
udk_udk_1,23
truA,23
rsmE,23
rpsC,23
rplA,23
rbfA,23
pldB_pldB_2,23
nuoH,23
mtnN,23
group_747,23
erpA,23
can,23
bamE,23
tusB,22
rplJ,22
pta,22
murF_murF_1,22
ispF,22
group_3581,22
dnaQ,22
ygbE,21
ygaZ,21
ybgI,21
uspD_uspD_1,21
usg_usg_1,21
suhB,21
rpsD,21
rplP,21
ribF,21
pyrI,21
ompA,21
nagA_1,21
lolB,21
ispG_ispG_2,21
hflC,21
group_7173,21
group_6151,21
group_338,21
galS,21
exbB_1_exbB_2,21
dxr,21
dgkA,21
bamD_bamD_1,21
baeR_baeR_2,21
yccF,20
slyX,20
slyB,20
rpsO,20
rpsG,20
rpmF,20
nsrR,20
menA,20
kdsB,20
iclR,20
group_8044,20
cysC,20
cpxA_cpxA_1,20
yqjE,19
yhdT,19
yhcB,19
tusD,19
trpC_trpC_1,19
rsmD_rsmD_2,19
rpsQ,19
rpsF,19
rplX,19
rplT,19
rplE,19
rplD,19
rnhA_rnhA_2_rnhA_1,19
rimP,19
nuoB,19
nudE,19
msrB,19
minE,19
manX_2,19
lexA_4,19
ilvM,19
group_7810,19
group_7366,19
group_1997,19
group_1521,19
group_1369,19
ftsB,19
fabA,19
exbD_2,19
aroK,19
argR,19
arfA,19
zapD,18
yfcE,18
yehT_yehT_1,18
tusE,18
trxA_1,18
rpsI,18
rpmC,18
rplV,18
rplM,18
rplK,18
queD,18
nuoI_2_nuoI_1,18
manY,18
infC,18
ibpB,18
group_7046,18
group_1239,18
clpS,18
yniC_2,17
thiS,17
sspB,17
rpsP,17
rplN,17
rmf,17
rfaH,17
nei,17
nagB_1,17
moaE,17
menI,17
leuD,17
iscA_2,17
ibpA,17
htpX,17
hslV,17
group_799,17
group_4736,17
group_4140,17
group_1536,17
group_1184,17
gapA,17
folE_folE_2,17
fldA,17
feoC,17
cpxR,17
cfa,17
acrZ,17
ygdR_1,16
ygaV,16
ybfF,16
uspA,16
tsaE,16
Stx2i_43_OLC3602|1242nt,16
rpsS,16
rpsK,16
purC,16
plsY,16
pdhR_2,16
pal,16
ompX_1,16
moaC,16
iscR,16
hinT,16
group_78,16
group_4979,16
group_2865,16
frr,16
folB,16
flgM,16
coaE,16
artP,16
apt,16
ybgC,15
uspB,15
trxA_2,15
satP,15
rsmA,15
rpsM,15
rpsE,15
rpsB,15
rplW,15
rplL,15
rplF,15
nrdH,15
mug,15
msrC,15
mreD,15
mog_mog_2_mog_1,15
mntS,15
iscU,15
grxD,15
group_8038,15
group_4683,15
group_4205,15
group_4093,15
group_3752,15
group_3713,15
group_2620,15
group_2400,15
group_1657,15
group_1656,15
glpR_4_glpR_5_glpR_1,15
fdhD,15
bolA,15
adk,15
zapA,14
yjcH,14
tatD_tatD_2,14
slyA,14
rpsU,14
rpsN,14
rplR,14
rplC,14
ribC,14
ndhC,14
napB,14
moaB,14
group_876,14
group_744,14
group_334,14
group_2461,14
group_1743,14
gcvH,14
dtd,14
dsbE,14
ypeA_ypeA_1,13
sucD,13
sfsA,13
rpsR,13
rpmI,13
recX,13
priB,13
napC,13
iscA_1,13
group_519,13
group_4003,13
group_3909,13
group_1178,13
galE,13
fur,13
ftsL,13
cetB,13
ycdY,12
ybjM,12
seqA,12
rplO,12
manZ_1_manZ_2,12
hisM,12
hfq,12
group_145,12
fucU,12
cysJ_2,12
csrA,12
bssS,12
ygjH,11
ybaN,11
ybaB,11
ubiX,11
tatC,11
rnt,11
pncC_1,11
O/O8-32-wzt/1-1215,11
mukE,11
lolD_1,11
group_1592,11
fadR,11
ccmC,11
apaG,11
sdhC,10
rpsJ,10
rpmE,10
rpmD,10
osmB,10
mdaB,10
ihfB,10
group_800,10
group_3589,10
Stx2i_53_FN252457|1242nt,9
pyrF,9
group_568,9
group_4687,9
gloA,9
crr,9
corC_1,9
ampD,9
yciK,8
ybeY,8
tatB,8
rpsT,8
rpmJ,8
ribA,8
group_755,8
group_7117,8
group_678,8
group_125,8
cnu,8
H/H19-5-fliC/1-1832,7
group_2164,7
glnK,7
cydX,7
tatA,6
sdhE,6
group_7422,6
group_3296,6
ccmD,6
O/O8-16-wzm/1-795,5
H/H19-4-fliC/1-1832,5
sra,4
O/O8-35-wzt/1-1215,4
H/H19-6-fliC/1-1832,4
H/H19-2-fliC-origin/1-1842,4
group_390,4
H/H19-1-fliC-origin/1-1833,3
Stx2g_39_AJ966783|1242nt,2
Stx2e_146_GCA_009949705.1|1236nt,2
O/O8-36-wzt/1-1215,2
O/O8-21-wzm/1-795,2
O/O8-13-wzm/1-795,2
group_7622,2
Stx2e_85_FM998844|1236nt,1
Stx2e_63_X81416|1236nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
O/O8-31-wzt/1-1215,1
O/O8-30-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
O/O8-27-wzt/1-1215,1
O/O8-25-wzt/1-1215,1
O/O8-20-wzm/1-795,1
O/O8-19-wzm/1-795,1
O/O8-15-wzm/1-795,1
O/O8-12-wzm/1-795,1
O/O8-11-wzm/1-795,1
H/H9-3-fliC/1-2013,1
H/H28-8-fliC/1-1740,1
H/H19-11-fliC/1-1842,1
H/H14-3-fliC/1-1653,1
#rname,numreads
